Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"1.00000","1.66900","1.46263","54.40043"
"1.00000","1.67400","1.48764","55.60255"
"1.00000","1.67900","1.51264","56.79728"
"1.00000","1.68400","1.53764","57.99876"
"1.00000","1.68900","1.56263","59.19413"
"1.00000","1.69400","1.58762","60.39898"
"1.00000","1.69900","1.61262","61.60631"
"1.00000","1.70400","1.63761","62.81445"
"1.00000","1.70900","1.66261","64.03530"
"1.00000","1.71400","1.68762","65.25977"
"1.00000","1.71900","1.71262","66.49107"
"1.00000","1.72400","1.73763","67.73036"
"1.00000","1.72900","1.76262","68.96361"
"1.00000","1.73400","1.78762","70.20363"
"1.00000","1.73900","1.81260","71.44173"
"1.00000","1.74400","1.83759","72.68830"
"1.00000","1.74900","1.86257","73.94424"
"1.00000","1.75400","1.88756","75.20013"
"1.00000","1.75900","1.91255","76.46600"
"1.00000","1.76400","1.93754","77.73790"
"1.00000","1.76900","1.96254","79.02163"
"1.00000","1.77400","1.98755","80.31575"
"1.00000","1.77900","2.01256","81.60922"
"1.00000","1.78400","2.03757","82.91124"
"1.00000","1.78900","2.06258","84.20944"
"1.00000","1.79400","2.08758","85.50929"
"1.00000","1.79900","2.11257","86.81348"
"1.00000","1.80400","2.13755","88.11929"
"1.00000","1.80900","2.16254","89.43260"
"1.00000","1.81400","2.18754","90.74929"
"1.00000","1.81900","2.21254","92.07519"
"1.00000","1.82400","2.23755","93.41016"
"1.00000","1.82900","2.26256","94.74288"
"1.00000","1.83400","2.28756","96.07851"
"1.00000","1.83900","2.31255","97.41071"
"1.00000","1.84400","2.33755","98.75089"
"1.00000","1.84900","2.36254","100.09586"
"1.00000","1.85400","2.38755","101.44560"
"1.00000","1.85900","2.41256","102.80656"
"1.00000","1.86400","2.43758","104.16510"
"1.00000","1.86900","2.46260","105.53218"
"1.00000","1.87400","2.48761","106.90711"
"1.00000","1.87900","2.51261","108.27939"
"1.00000","1.88400","2.53761","109.66158"
"1.00000","1.88900","2.56261","111.03930"
"1.00000","1.89400","2.58760","112.41361"
"1.00000","1.89900","2.61259","113.77509"
"1.00000","1.90400","2.63758","115.12698"
"1.00000","1.90900","2.66258","116.48651"
"1.00000","1.91400","2.68758","117.84583"
"1.00000","1.91900","2.71258","119.20757"
"1.00000","1.92400","2.73759","120.57836"
"1.00000","1.92900","2.76259","121.94772"
"1.00000","1.93400","2.78759","123.31949"
"1.00000","1.93900","2.81259","124.68893"
"1.00000","1.94400","2.83758","126.05545"
"1.00000","1.94900","2.86257","127.42155"
"1.00000","1.95400","2.88755","128.78352"
"1.00000","1.95900","2.91254","130.14989"
"1.00000","1.96400","2.93753","131.50934"
"1.00000","1.96900","2.96253","132.86417"
"1.00000","1.97400","2.98752","134.22034"
"1.50000","1.97700","3.00251","135.02657"
"1.50000","1.97800","3.00751","135.29578"
"1.50000","1.98300","3.03249","136.64377"
"1.50000","1.98800","3.05737","137.90237"
"1.50000","1.99300","3.08151","138.89078"
"1.50000","1.99800","3.10337","139.56421"
"1.50000","2.00300","3.12087","139.68762"
"1.50000","2.00800","3.13213","139.26634"
"1.50000","2.01300","3.13617","138.33537"
"1.50000","2.01800","3.13327","136.86093"
"1.50000","2.02300","3.12450","134.93289"
"1.50000","2.02800","3.11105","132.64374"
"1.50000","2.03300","3.09403","130.11324"
"1.50000","2.03800","3.07427","127.43972"
"1.50000","2.04300","3.05242","124.65262"
"1.50000","2.04800","3.02894","121.82951"
"1.50000","2.05300","3.00421","118.96047"
"1.50000","2.05800","2.97855","116.11217"
"1.50000","2.06300","2.95226","113.29865"
"1.50000","2.06800","2.92558","110.54967"
"1.50000","2.07300","2.89872","107.89552"
"1.50000","2.07800","2.87186","105.32351"
"1.50000","2.08300","2.84513","102.84548"
"1.50000","2.08800","2.81859","100.46722"
"1.50000","2.09300","2.79229","98.16634"
"1.50000","2.09800","2.76623","95.95067"
"1.50000","2.10300","2.74039","93.81487"
"1.50000","2.10800","2.71475","91.74194"
"1.50000","2.11300","2.68927","89.74986"
"1.50000","2.11800","2.66391","87.81059"
"1.50000","2.12300","2.63866","85.93890"
"1.50000","2.12800","2.61348","84.11439"
"1.50000","2.13300","2.58834","82.31957"
"1.50000","2.13800","2.56324","80.57334"
"1.50000","2.14300","2.53817","78.84425"
"1.50000","2.14800","2.51311","77.15662"
"1.50000","2.15300","2.48805","75.48919"
"1.50000","2.15800","2.46301","73.84747"
"1.50000","2.16300","2.43796","72.24727"
"1.50000","2.16800","2.41292","70.67252"
"1.50000","2.17300","2.38786","69.14211"
"1.50000","2.17800","2.36279","67.65083"
"1.50000","2.18300","2.33773","66.18459"
"1.50000","2.18800","2.31267","64.75367"
"1.50000","2.19300","2.28762","63.33338"
"1.50000","2.19800","2.26258","61.93366"
"1.50000","2.20300","2.23755","60.55535"
"1.50000","2.20800","2.21252","59.18562"
"1.50000","2.21300","2.18749","57.85046"
"1.50000","2.21800","2.16246","56.52936"
"1.50000","2.22300","2.13742","55.22978"
"1.50000","2.22800","2.11238","53.96571"
"1.50000","2.23300","2.08735","52.71515"
"1.50000","2.23800","2.06233","51.49223"
"1.50000","2.24300","2.03731","50.28209"
"1.50000","2.24800","2.01229","49.08727"
"1.50000","2.25300","1.98727","47.90872"
"1.50000","2.25800","1.96225","46.73284"
"1.50000","2.26300","1.93722","45.57834"
"1.50000","2.26800","1.91220","44.43571"
"1.50000","2.27300","1.88718","43.31132"
"1.50000","2.27800","1.86217","42.21114"
"1.50000","2.28300","1.83717","41.11190"
"1.50000","2.28800","1.81216","40.03899"
"1.50000","2.29300","1.78717","38.97753"
"1.50000","2.29800","1.76217","37.92804"
"1.50000","2.30300","1.73718","36.91329"
"1.50000","2.30800","1.71219","35.91084"
"1.50000","2.31300","1.68721","34.94398"
"1.50000","2.31800","1.66221","33.98380"
"1.50000","2.32300","1.63721","33.03447"
"1.50000","2.32800","1.61220","32.10702"
"1.50000","2.33300","1.58719","31.17176"
"1.50000","2.33800","1.56218","30.24902"
"1.50000","2.34300","1.53717","29.33405"
"1.50000","2.34800","1.51218","28.42158"
"1.50000","2.35300","1.48718","27.52675"
"1.50000","2.35800","1.46219","26.63968"
"1.50000","2.36300","1.43719","25.77248"
"1.50000","2.36800","1.41218","24.92428"
"1.50000","2.37300","1.38718","24.08110"
"1.50000","2.37800","1.36217","23.25880"
"1.50000","2.38300","1.33717","22.44014"
"1.50000","2.38800","1.31218","21.62982"
"1.50000","2.39300","1.28718","20.83301"
"1.50000","2.39800","1.26217","20.03879"
"1.50000","2.40300","1.23716","19.26064"
"1.50000","2.40800","1.21214","18.49704"
"1.50000","2.41300","1.18712","17.74458"
"1.50000","2.41800","1.16211","17.00936"
"1.50000","2.42300","1.13710","16.27384"
"1.50000","2.42800","1.11210","15.55293"
"1.50000","2.43300","1.08710","14.84042"
"1.50000","2.43800","1.06210","14.13137"
"1.50000","2.44300","1.03710","13.43823"
"1.50000","2.44800","1.01210","12.74183"
"1.50000","2.45300","0.98711","12.05812"
"1.50000","2.45800","0.96212","11.37509"
"1.50000","2.46300","0.93714","10.69790"
"1.50000","2.46800","0.91217","10.03557"
"1.50000","2.47300","0.88719","9.37524"
"1.50000","2.47800","0.86220","8.73378"
"1.50000","2.48300","0.83720","8.10301"
"1.50000","2.48800","0.81218","7.48558"
"1.50000","2.49300","0.78716","6.88541"
"1.50000","2.49800","0.76214","6.29005"
"1.50000","2.50300","0.73712","5.71742"
"1.50000","2.50800","0.71210","5.15526"
"1.50000","2.51300","0.68709","4.58902"
"1.50000","2.51800","0.66207","4.03609"
"1.50000","2.52300","0.63707","3.47492"
"1.50000","2.52800","0.61208","2.92068"
"1.50000","2.53300","0.58710","2.36367"
"1.50000","2.53800","0.56213","1.81153"
"1.50000","2.54300","0.53715","1.27235"
"1.50000","2.54800","0.51217","0.73071"
"1.50000","2.55300","0.48719","0.20687"
"1.50000","2.55800","0.46219","-0.30419"
"1.50000","2.56300","0.43720","-0.79974"
"1.50000","2.56800","0.41221","-1.27071"
"1.50000","2.57300","0.38723","-1.73055"
"1.50000","2.57800","0.36224","-2.15791"
"1.50000","2.58300","0.33724","-2.56944"
"1.50000","2.58800","0.31222","-2.95545"
"1.50000","2.59300","0.28719","-3.30664"
"1.50000","2.59800","0.26214","-3.63495"
"1.50000","2.60300","0.23710","-3.92302"
"1.50000","2.60800","0.21206","-4.18989"
"1.50000","2.61300","0.18703","-4.41920"
"1.50000","2.61800","0.16201","-4.62165"
"1.50000","2.62300","0.13699","-4.80823"
"1.50000","2.62800","0.11197","-4.96916"
"1.50000","2.63300","0.08696","-5.12084"
"1.50000","2.63800","0.06196","-5.26227"
"1.50000","2.64300","0.03698","-5.39103"
"1.50000","2.64800","0.01202","-5.51969"
"2.00000","2.65100","-0.00296","-5.58604"
"2.00000","2.65200","-0.00794","-5.60768"
"2.00000","2.65700","-0.03289","-5.72046"
"2.00000","2.66200","-0.05774","-5.75405"
"2.00000","2.66700","-0.08184","-5.57233"
"2.00000","2.67200","-0.10366","-5.26842"
"2.00000","2.67700","-0.12113","-4.87136"
"2.00000","2.68200","-0.13236","-4.54158"
"2.00000","2.68700","-0.13640","-4.44124"
"2.00000","2.69200","-0.13358","-4.42548"
"2.00000","2.69700","-0.12496","-4.42817"
"2.00000","2.70200","-0.11177","-4.38269"
"2.00000","2.70700","-0.09506","-4.29210"
"2.00000","2.71200","-0.07563","-4.16059"
"2.00000","2.71700","-0.05407","-3.98002"
"2.00000","2.72200","-0.03082","-3.76042"
"2.00000","2.72700","-0.00623","-3.47314"
"2.00000","2.73200","0.01935","-3.13953"
"2.00000","2.73700","0.04566","-2.75721"
"2.00000","2.74200","0.07241","-2.34041"
"2.00000","2.74700","0.09937","-1.90127"
"2.00000","2.75200","0.12638","-1.41686"
"2.00000","2.75700","0.15328","-0.89130"
"2.00000","2.76200","0.17999","-0.33205"
"2.00000","2.76700","0.20645","0.28471"
"2.00000","2.77200","0.23265","0.93521"
